# spells_ru.tsv — названия заклинаний и умений, привязанные к внутреннему ID.
# Колонки: id | внутреннее имя (для чтения человеком) | русское название.
# Устроен так же, как items_ru.tsv, и по той же причине: привязка к id
# переживает обновление игры, а правило по русскому тексту умирает молча,
# стоит разработчику переписать свой перевод.
#
# Файл обязан лежать рядом с DLL, как translations.txt и items_ru.tsv.
# Пересоздаётся из review/spell_dump.tsv, см. docs/JOURNAL.md.
245	Skill_Bard_KerrimanWarsong	Военная песнь Керримана
282	Skill_Bard_KerrimanWarsong	Военная песнь Керримана
246	Skill_Bard_LionRoar	Рык льва
247	Skill_Bard_MelicianFestival	Фестиваль Мелициан
299	Skill_Bard_MelicianFestival	Фестиваль Мелициан
248	Skill_Bard_OsseydisCurse	Проклятие Оссейди
249	Skill_Bard_SendingSoulRequiem	Реквием Сендингсоул
250	Skill_Bard_SoundBurst	Звуковой взрыв
251	Skill_Bard_SummerFlies	Летние мухи
244	Skill_Bard_TharaEnsarulaAsil	Тара энсарула асил
252	Skill_Bard_VanucriusAnvil	Наковальня Ванукриуса
168	Skill_Battlemonk_ChiHeal	Чи-исцеление
169	Skill_Battlemonk_EnergyBlast	Взрыв Ци
170	Skill_Battlemonk_EnergyBurst	Сплоченность
171	Skill_Battlemonk_EnergyShield	Щит Ци
172	Skill_Battlemonk_LandingAttack	Посадочная атака
124	Skill_Berserker_Execute	Казнь
125	Skill_Berserker_HeadButt	Таран
126	Skill_Berserker_Reckless posture	Безрассудная поза
127	Skill_Berserker_SuppressAnger	Подавить гнев
128	Skill_Berserker_UnleashRage	Разгулять ярость
32	Skill_Commander_Condemn	Осудить
21	Skill_Commander_First aid	Первая помощь
36	Skill_Commander_Rescue	Спасение
43	Skill_Commander_Stimulate	Стимулировать
34	Skill_Commander_War banner	Военное знамя
24	Skill_Commander_War roar	Боевой рев
67	Skill_Defender_Focus block	Фокусированный блок
68	Skill_Defender_Fortress	Крепость
69	Skill_Defender_Guardian	Страж
70	Skill_Defender_Impair attack	Ослабляющая атака
19	Skill_Defender_Intercept	Перехват
54	Skill_Duelist_Advanced dodge	Продвинутое уклонение
57	Skill_Duelist_Break free	Освободиться
55	Skill_Duelist_Challenge	Вызов
56	Skill_Duelist_Concentrative mode	Режим концентрации
25	Skill_Duelist_Disarm	Разоружение
59	Skill_Duelist_Precision strike	Точный удар
45	Skill_Gladiator_Battle furor	Боевая ярость
31	Skill_Gladiator_Dash attack	Атака с рывком
12	Skill_Gladiator_Kick down	Сбивающий удар
40	Skill_Gladiator_Power strike	Мощный удар
23	Skill_Gladiator_Whirlwind attack	Вихревая атака
129	Skill_Marksman_ArmorPiercingArrow	Бронебойная стрела
130	Skill_Marksman_BurningArrow	Горящая стрела
131	Skill_Marksman_ImpactArrow	Ударная стрела
132	Skill_Marksman_JumpArrow	Прыгающая стрела
133	Skill_Marksman_ScoutPosture	Позиция разведчика
184	Skill_Ninja_Caltrops	Колючки
185	Skill_Ninja_Shuriken	Сюрикен
186	Skill_Ninja_SmokePill	Дымовая шашка
187	Skill_Ninja_Untouchable	Непредсказуемый
84	Skill_Ranger_Back flip shot	Выстрел с сальто назад
85	Skill_Ranger_Double shoot	Двойной выстрел
86	Skill_Ranger_Repulse	Отталкивание
87	Skill_Ranger_Slide strafe	Скользящий обстрел
88	Skill_Ranger_Trace arrow	Следящая стрела
74	Skill_Rogue_BackAttack	Атака сзади
72	Skill_Rogue_Blinding dust	Ослепляющая пыль
73	Skill_Rogue_Envenomed weapon	Ядовитое оружие
58	Skill_Rogue_Evasion	Уклонение
165	Skill_Rogue_Lurk	Таиться
75	Skill_Rogue_Painspot attack	Атака на болевую точку
188	Skill_Samurai_Cross slash	Крестовый удар
189	Skill_Samurai_IaidoSlash	Удар иайдо
190	Skill_Samurai_MeteorSlash	Потоковый удар
199	Skill_Shapeshift_FatalBite	Смертельный укус
200	Skill_Shapeshift_GrabAttack	Захват
201	Skill_Shapeshift_HowlOfTerror	Вой ужаса
202	Skill_Shapeshift_Shred	Разрыв
203	Skill_Shapeshift_WerebearForm	Оборотень-медведь
204	Skill_Shapeshift_WerewolfFrom	Оборотень-волк
96	UseItem	Использовать предмет
301	UseItem_Bowl	Использовать миску
302	UseItem_Drink	Выпить
303	UseItem_Eat	Съесть
236	Spell_Dark_BlackMist	Черный туман
237	Spell_Dark_CorruptingTouch	Губительное прикосновение
264	Spell_Dark_DarkBats	Темные летучие мыши
238	Spell_Dark_DarkFury	Темная ярость
239	Spell_Dark_DarkImprison	Темное заключение
240	Spell_Dark_DarkShield	Темный щит
241	Spell_Dark_ShadowMove	Теневое движение
265	Spell_Dark_ShadowSpear	Теневое копье
283	Spell_Earth_BoulderToss	Бросок валуна
284	Spell_Earth_EarthShock	Землетрясение
285	Spell_Earth_RockArmor	Каменная броня
291	Spell_Earth_RockFist	Каменный кулак
286	Spell_Earth_RockSpikes	Каменные шипы
290	Spell_Earth_Sandstorm	Песчаная буря
292	Spell_Earth_StoneBarrier	Каменная барьера
293	Spell_Earth_SummonGolem	Призвать голема
42	Spell_Fire_FireBall	Огненный шар
30	Spell_Fire_FireHurricane	Огненный ураган
14	Spell_Fire_FireShield	Огненный щит
27	Spell_Fire_FireWall	Противопожарная стена
49	Spell_Fire_FlamingWeapons	Пылающее оружие
51	Spell_Fire_Hellfire	Адский огонь
46	Spell_Fire_Ignite	Зажечь
28	Spell_Fire_ImpureFlame	Нечистое пламя
294	Spell_Forest_Barkskin	Дубовая кожа
305	Spell_Forest_ForestMark	Лесная метка
295	Spell_Forest_PoisonCloudArrow	Стрела ядовитого облака
296	Spell_Forest_SpikeGrowth	Пиковый рост
297	Spell_Forest_SummonAirSpirit	Призыв духа воздуха
288	Spell_Forest_SummonForestSpirit	Призвать лесного духа
298	Spell_Forest_ThornsPuncture	Прокол шипов
287	Spell_Forest_VineEntangle	Лоза запутывает
289	Spell_Forest_WallofThorns	Стена шипов
48	Spell_Ice_ColdFury	Холодная ярость
35	Spell_Ice_FrostShield	Морозный щит
39	Spell_Ice_FrostWeapon	Ледяное оружие
17	Spell_Ice_FrozenImprison	Замороженная тюрьма
33	Spell_Ice_IceCones	Ледяные конусы
